"","id","educacion","sexo","edad","cervezas","hijos","cigarrillo","cigar"
"1",1003,16,"Masculino",41,1,0,1,"1"
"2",522,9,"Masculino",33,5,1,1,"1"
"3",1086,17,"Masculino",51,3,4,0,"0"
"4",659,8,"Masculino",46,6,2,0,"0"
"5",771,12,"Masculino",18,3,0,0,"0"
"6",331,12,"Femenino",57,4,3,1,"1"
"7",432,10,"Femenino",24,5,1,0,"0"
"8",273,12,"Femenino",45,3,2,0,"0"
"9",137,9,"Masculino",33,5,1,1,"1"
"10",516,16,"Femenino",32,1,2,0,"0"
"11",803,13,"Masculino",23,2,0,0,"0"
"12",798,16,"Femenino",22,1,0,0,"0"
"13",846,15,"Femenino",27,2,0,0,"0"
"14",190,14,"Masculino",36,3,1,0,"0"
"15",454,18,"Femenino",26,1,0,0,"0"
"16",32,5,"Masculino",23,2,0,0,"0"
"17",614,13,"Femenino",40,1,2,0,"0"
"18",1062,14,"Femenino",48,8,2,0,"0"
"19",668,19,"Femenino",47,1,2,0,"0"
"20",15,10,"Masculino",21,4,0,0,"0"
"21",989,12,"Masculino",40,2,2,1,"1"
"22",796,15,"Femenino",22,2,0,0,"0"
"23",461,15,"Femenino",27,2,0,0,"0"
"24",16,15,"Masculino",21,2,0,0,"0"
"25",1106,12,"Femenino",58,2,3,1,"1"
"26",778,15,"Femenino",21,2,0,1,"1"
"27",775,12,"Femenino",20,3,1,0,"0"
"28",412,14,"Masculino",22,2,0,0,"0"
"29",424,12,"Femenino",23,1,1,0,"0"
"30",693,12,"Masculino",50,3,3,1,"1"
"31",214,16,"Masculino",39,3,2,0,"0"
"32",317,8,"Femenino",51,3,4,0,"0"
"33",863,13,"Masculino",29,0,0,1,"1"
"34",93,13,"Masculino",29,0,0,1,"1"
"35",644,14,"Femenino",43,2,2,0,"0"
"36",576,16,"Masculino",37,0,2,1,"1"
"37",875,14,"Femenino",30,2,2,0,"0"
"38",1026,14,"Masculino",43,2,0,0,"0"
"39",289,16,"Femenino",48,2,0,1,"1"
"40",850,16,"Masculino",28,3,0,0,"0"
"41",275,12,"Femenino",46,5,2,0,"0"
"42",145,14,"Femenino",33,1,1,0,"0"
"43",1093,12,"Femenino",52,2,4,0,"0"
"44",12,12,"Femenino",21,2,0,0,"0"
"45",258,13,"Femenino",43,2,2,0,"0"
"46",859,17,"Masculino",28,4,0,0,"0"
"47",167,15,"Masculino",35,3,0,1,"1"
"48",780,13,"Masculino",21,2,0,0,"0"
"49",1045,12,"Femenino",46,5,2,0,"0"
"50",867,18,"Femenino",29,2,0,0,"0"
"51",457,12,"Masculino",27,1,0,0,"0"
"52",231,15,"Masculino",41,2,2,1,"1"
"53",140,13,"Masculino",33,5,0,0,"0"
"54",804,16,"Femenino",23,3,0,0,"0"
"55",680,12,"Femenino",49,3,3,1,"1"
"56",376,8,"Masculino",72,5,0,1,"1"
"57",498,12,"Femenino",31,8,3,0,"0"
"58",240,12,"Femenino",41,3,2,1,"1"
"59",929,14,"Femenino",34,1,2,0,"0"
"60",437,12,"Femenino",25,4,1,1,"1"
"61",539,16,"Femenino",34,1,0,1,"1"
"62",1034,12,"Femenino",44,2,4,1,"1"
"63",5,12,"Femenino",20,3,1,0,"0"
"64",664,18,"Femenino",47,0,2,1,"1"
"65",1119,11,"Femenino",61,3,2,1,"1"
"66",448,12,"Femenino",26,3,0,1,"1"
"67",206,12,"Femenino",38,1,2,0,"0"
"68",932,16,"Femenino",34,1,0,0,"0"
"69",1082,18,"Masculino",50,1,2,0,"0"
"70",413,16,"Femenino",22,1,0,0,"0"
"71",566,12,"Masculino",35,5,0,0,"0"
"72",118,14,"Masculino",32,3,2,1,"1"
"73",985,16,"Femenino",39,1,2,0,"0"
"74",359,11,"Masculino",62,2,2,0,"0"
"75",547,16,"Femenino",34,1,0,0,"0"
"76",610,14,"Masculino",40,4,2,0,"0"
"77",1042,16,"Femenino",45,2,1,0,"0"
"78",141,18,"Femenino",33,1,0,0,"0"
"79",851,11,"Femenino",28,4,4,0,"0"
"80",789,11,"Masculino",22,1,0,0,"0"
"81",511,18,"Femenino",32,1,0,0,"0"
"82",151,13,"Femenino",33,2,3,0,"0"
"83",1117,10,"Femenino",60,2,2,0,"0"
"84",587,19,"Masculino",38,3,0,0,"0"
"85",965,20,"Masculino",37,2,0,0,"0"
"86",970,16,"Masculino",37,2,0,0,"0"
"87",1052,10,"Masculino",47,3,1,1,"1"
"88",675,12,"Femenino",48,4,2,1,"1"
"89",470,13,"Femenino",28,9,1,0,"0"
