marca,modelo,tipo,precio,motor,caballos,ancho,largo,peso_neto,deposito,mpg
Acura,Integra,Automóvil,21.5,1.8,140,67.3,172.4,2.639,13.2,28
Acura,TL,Automóvil,28.4,3.2,225,70.3,192.9,3.517,17.2,25
Acura,CL,Automóvil, ,3.2,225,70.6,192,3.47,17.2,26
Acura,RL,Automóvil,42,3.5,210,71.4,196.6,3.85,18,22
Audi,A4,Automóvil,23.99,1.8,150,68.2,178,2.998,16.4,27
Audi,A6,Automóvil,33.95,2.8,200,76.1,192,3.561,18.5,22
Audi,A8,Automóvil,62,4.2,310,74,198.2,3.902,23.7,21
BMW,323i,Automóvil,26.99,2.5,170,68.4,176,3.179,16.6,26.1
BMW,328i,Automóvil,33.4,2.8,193,68.5,176,3.197,16.6,24
BMW,528i,Automóvil,38.9,2.8,193,70.9,188,3.472,18.5,24.8
Buick,Century,Automóvil,21.975,3.1,175,72.7,194.6,3.368,17.5,25
Buick,Regal,Automóvil,25.3,3.8,240,72.7,196.2,3.543,17.5,23
Buick,Park Avenue,Automóvil,31.965,3.8,205,74.7,206.8,3.778,18.5,24
Buick,LeSabre,Automóvil,27.885,3.8,205,73.5,200,3.591,17.5,25
Cadillac,DeVille,Automóvil,39.895,4.6,275,74.5,207.2,3.978,18.5,22
Cadillac,Seville,Automóvil,44.475,4.6,275,75,201, ,18.5,22
Cadillac,Eldorado,Automóvil,39.665,4.6,275,75.5,200.6,3.843,19,22
Cadillac,Catera,Automóvil,31.01,3,200,70.3,194.8,3.77,18,22
Cadillac,Escalade,Camioneta,46.225,5.7,255,77,201.2,5.572,30,15
Chevrolet,Cavalier,Automóvil,13.26,2.2,115,67.9,180.9,2.676,14.3,27
Chevrolet,Malibu,Automóvil,16.535,3.1,170,69.4,190.4,3.051,15,25
Chevrolet,Lumina,Automóvil,18.89,3.1,175,72.5,200.9,3.33,16.6,25
Chevrolet,Monte Carlo,Automóvil,19.39,3.4,180,72.7,197.9,3.34,17,27
Chevrolet,Camaro,Automóvil,24.34,3.8,200,74.1,193.2,3.5,16.8,25
Chevrolet,Corvette,Automóvil,45.705,5.7,345,73.6,179.7,3.21,19.1,22
Chevrolet,Prizm,Automóvil,13.96,1.8,120,66.7,174.3,2.398,13.2,33
Chevrolet,Metro,Automóvil,9.235,1,55,62.6,149.4,1.895,10.3,45
Chevrolet,Impala,Automóvil,18.89,3.4,180,73,200,3.389,17,27
Chrysler,Sebring Coupe,Automóvil,19.84,2.5,163,69.7,190.9,2.967,15.9,24
Chrysler,Sebring Conv.,Automóvil,24.495,2.5,168,69.2,193,3.332,16,24
Chrysler,Concorde,Automóvil,22.245,2.7,200,74.4,209.1,3.452,17,26
Chrysler,Cirrus,Automóvil,16.48,2,132,71,186,2.911,16,27
Chrysler,LHS,Automóvil,28.34,3.5,253,74.4,207.7,3.564,17,23
Chrysler,Town & Country,Camioneta, , , , , , , , 
Chrysler,300M,Automóvil,29.185,3.5,253,74.4,197.8,3.567,17,23
Dodge,Neon,Automóvil,12.64,2,132,74.4,174.4,2.567,12.5,29
Dodge,Avenger,Automóvil,19.045,2.5,163,69.1,190.2,2.879,15.9,24
Dodge,Stratus,Automóvil,20.23,2.5,168,71,186,3.058,16,24
Dodge,Intrepid,Automóvil,22.505,2.7,202,74.7,203.7,3.489,17, 
Dodge,Viper,Automóvil,69.725,8,450,75.7,176.7,3.375,19,16
Dodge,Ram Pickup,Camioneta,19.46,5.2,230,79.3,224.2,4.47,26,17
Dodge,Ram Wagon,Camioneta,21.315,3.9,175,78.8,192.6,4.245,32,15
Dodge,Ram Van,Camioneta,18.575,3.9,175,78.8,208.5,4.298,32,16
Dodge,Dakota,Camioneta,16.98,2.5,120,71.5,215,3.557,22,19
Dodge,Durango,Camioneta,26.31,5.2,230,71.7,193.5,4.394,25,17
Dodge,Caravan,Camioneta,19.565,2.4,150,76.8,186.3,3.533,20,24
Ford,Escort,Automóvil,12.07,2,110,67,174.7,2.468,12.7,30
Ford,Mustang,Automóvil,21.56,3.8,190,73.1,183.2,3.203,15.7,24
Ford,Contour,Automóvil,17.035,2.5,170,69.1,184.6,2.769,15,25
Ford,Taurus,Automóvil,17.885,3,155,73,197.6,3.368,16,24
Ford,Focus,Automóvil,12.315,2,107,66.9,174.8,2.564,13.2,30
Ford,Crown Victoria,Automóvil,22.195,4.6,200,78.2,212,3.908,19,21
Ford,Explorer,Camioneta,31.93,4,210,70.2,190.7,3.876,21,19
Ford,Windstar,Camioneta,21.41,3,150,76.6,200.9,3.761,26,21
Ford,Expedition,Camioneta,36.135,4.6,240,78.7,204.6,4.808,26,16
Ford,Ranger,Camioneta,12.05,2.5,119,69.4,200.7,3.086,20,23
Ford,F-Series,Camioneta,26.935,4.6,220,79.1,224.5,4.241,25.1,18
Honda,Civic,Automóvil,12.885,1.6,106,67.1,175.1,2.339,11.9,32
Honda,Accord,Automóvil,15.35,2.3,135,70.3,188.8,2.932,17.1,27
Honda,CR-V,Camioneta,20.55,2,146,68.9,177.6,3.219,15.3,24
Honda,Passport,Camioneta,26.6,3.2,205,70.4,178.2,3.857,21.1,19
Honda,Odyssey,Camioneta,26,3.5,210,75.6,201.2,4.288,20,23
Hyundai,Accent,Automóvil,9.699,1.5,92,65.7,166.7,2.24,11.9,31
Hyundai,Elantra,Automóvil,11.799,2,140,66.9,174,2.626,14.5,27
Hyundai,Sonata,Automóvil,14.999,2.4,148,71.6,185.4,3.072,17.2,25
Infiniti,I30,Automóvil,29.465,3,227,70.2,193.7,3.342,18.5,25
Jaguar,S-Type,Automóvil,42.8,3,240,71.6,191.3,3.65,18.4,21
Jeep,Wrangler,Camioneta,14.46,2.5,120,66.7,152,3.045,19,17
Jeep,Cherokee,Camioneta,21.62,4,190,69.4,167.5,3.194,20,20
