ID,tipoplan,canalpago,consumomes,Estrato,Sexo,Edad,EstadoCivil,Educacion,Recomienda,rango_antiguedad,servicio_adicional,gigas_cons
1407,Empresarial Ejecutivo,presencial,223620,3-4,Femenino,Entre  26 y 45,Soltero/a,Bachillerato o inferior,Neutro,72 - 158,4,.309122362815452
1594,Postpago cuenta control,online,293200,3-4,Masculino,Menor a 25,Soltero/a,Profesional,Recomienda,72 - 158,1,.335686522068602
1513,Postpago cuenta control,online,187164,1-2,Masculino,Entre  26 y 45,Soltero/a,Profesional,Neutro,250+,4,.602587914742201
560,Postpago cuenta control,online,172280,3-4,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,250+,1,.603472545118601
688,Empresarial bajo costo,presencial,969066.666666667,1-2,Femenino,Entre  26 y 45,Soltero/a,Profesional,Neutro,159 - 249,3,.631479091772838
2011,Empresarial Ejecutivo,presencial,134560,3-4,Femenino,Menor a 25,Casado/a,Bachillerato o inferior,Neutro,<= 71,2,.631780079237429
728,Empresarial Ejecutivo,presencial,283800,1-2,Femenino,Entre  26 y 45,Soltero/a,Profesional,Recomienda,159 - 249,1,.666766462309175
429,Prepago,presencial,132600,3-4,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Recomienda,72 - 158,1,.719693565127643
265,Empresarial Ejecutivo,presencial,378040,1-2,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,No recomienda,<= 71,1,.722613107633108
958,Postpago cuenta control,online,333400,1-2,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,No recomienda,159 - 249,1,.750746383668853
1517,Postpago cuenta control,presencial,90675,5-6,Femenino,Menor a 25,Divorciado/a,Profesional,Recomienda,<= 71,3,.775595658454012
777,Postpago cuenta control,online,101000,3-4,Masculino,Entre  26 y 45,Soltero/a,Posgrado,Recomienda,159 - 249,1,.776829699921016
1807,Empresarial Ejecutivo,online,152320,3-4,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,Neutro,<= 71,2,.800647445458209
148,Postpago cuenta control,online,166860,1-2,Masculino,Entre  26 y 45,Soltero/a,Profesional,Recomienda,<= 71,1,.804905068608244
527,Empresarial Ejecutivo,online,512100,3-4,Femenino,Menor a 25,Soltero/a,Bachillerato o inferior,No recomienda,250+,3,.834295846285858
566,Postpago cuenta control,online,18300,3-4,Masculino,Menor a 25,Casado/a,Bachillerato o inferior,Neutro,72 - 158,1,.847826219546439
959,Postpago cuenta control,presencial,62200,1-2,Masculino,Menor a 25,Soltero/a,Bachillerato o inferior,No recomienda,72 - 158,1,.851125187988626
1514,Empresarial Ejecutivo,presencial,435800,1-2,Masculino,Entre  26 y 45,Soltero/a,Profesional,Neutro,72 - 158,1,.864299119432616
1463,Empresarial Ejecutivo,online,421200,1-2,Femenino,Entre  26 y 45,Casado/a,Bachillerato o inferior,No recomienda,72 - 158,1,.878972792774633
